"date","cust","sales"
1995-06-01,10498359,25
1995-06-01,10533077,3
1995-06-01,10536873,5
1995-06-01,10538391,10
1995-06-01,10540234,5
1995-06-01,10568158,5
1995-06-01,10577207,2
1995-06-01,10587159,10
1995-06-01,10597245,8
1995-06-01,10600620,10
1995-06-01,10601526,18
1995-06-01,10617216,5
1995-06-01,10631865,20
1995-06-01,10638085,5
1995-06-01,10663748,8
1995-06-01,10745897,5
1995-06-01,10790169,10
1995-06-01,10800388,10
1995-06-01,10800388,10
1995-06-01,10811476,10
1995-06-01,10824875,6
1995-06-01,10848185,3
1995-06-01,10869264,10
1995-06-01,10870644,10
1995-06-01,10907861,10
1995-06-01,10953789,25
1995-06-01,10958282,10
1995-06-01,10980860,10
1995-06-01,10982196,10
1995-06-01,10985578,5
1995-06-01,10993357,5
1995-06-01,10998688,5
1995-06-01,11005375,12
1995-06-01,11009994,5
1995-06-01,11042287,10
1995-06-01,11044236,10
1995-06-01,11051707,8
1995-06-01,11058162,3
1995-06-01,11094681,20
1995-06-01,11102609,5
1995-06-01,11126005,20
1995-06-01,11152031,5
1995-06-01,11154761,5
1995-06-01,11161832,5
1995-06-01,11164567,5
1995-06-01,11166878,5
1995-06-01,11175931,10
1995-06-01,11182676,5
1995-06-01,11236141,8
1995-06-01,11236637,5
1995-06-01,11246864,20
1995-06-01,11260615,20
1995-06-01,11263057,2
1995-06-01,11271522,2
1995-06-01,11289232,25
1995-06-01,11293403,35
1995-06-01,11297822,2
1995-06-01,11301986,11
1995-06-01,11304037,5
1995-06-01,11324433,5
1995-06-01,11331415,25
1995-06-01,11349987,15
1995-06-01,11396186,5
1995-06-01,11405364,15
1995-06-01,11419380,3
1995-06-01,11424489,10
1995-06-01,11444438,10
1995-06-01,11445648,10
1995-06-01,11448222,3
1995-06-01,11454107,10
1995-06-01,11472538,5
1995-06-01,11484394,10
1995-06-01,11485228,5
1995-06-01,11492325,5
1995-06-01,11520979,5
1995-06-01,11532641,3
1995-06-01,11537274,5
1995-06-01,11565786,10
1995-06-01,11581170,5
1995-06-01,11590180,5
1995-06-01,11598908,5
1995-06-01,11609892,5
1995-06-01,11613467,20
1995-06-01,11638253,25
1995-06-01,11640938,15
1995-06-01,11648448,15
1995-06-01,11652173,5
1995-06-01,11654183,10
1995-06-01,11658497,5
1995-06-01,11664374,15
1995-06-01,11680077,5
1995-06-01,11712084,10
1995-06-01,11715646,10
1995-06-01,11739756,10
1995-06-01,11747588,8
1995-06-01,11753468,5
1995-06-01,11759530,7
1995-06-01,11769934,10
1995-06-01,11778381,2
1995-06-01,11785732,5
1995-06-01,11794363,15
1995-06-01,11795498,5
1995-06-01,11811889,10
1995-06-01,11815890,10
1995-06-01,11816835,5
1995-06-01,11832999,5
1995-06-01,11846636,5
1995-06-01,11848853,2
1995-06-01,11871349,12
1995-06-01,11880033,10
1995-06-01,11891064,5
1995-06-01,11895756,5
1995-06-01,11914110,5
1995-06-01,11925145,5
1995-06-01,11932498,25
1995-06-01,11942509,10
1995-06-01,11943614,10
1995-06-01,11945463,5
1995-06-01,11947000,10
1995-06-01,11959611,3
1995-06-01,11961296,10
1995-06-01,11993506,5
1995-06-01,12007662,20
1995-06-01,12018450,5
1995-06-01,12018897,5
1995-06-01,12028252,10
1995-06-01,12038420,5
1995-06-01,12040437,10
1995-06-01,12046119,10
1995-06-01,12047957,20
1995-06-01,12053877,10
1995-06-01,12054288,20
1995-06-01,12056960,10
1995-06-01,12062568,12
1995-06-01,12078099,5
1995-06-01,12079605,5
1995-06-01,12079605,3
1995-06-01,12091080,3
1995-06-01,12101065,5
1995-06-01,12103161,10
1995-06-01,12109915,10
1995-06-01,12113739,5
1995-06-01,12116362,5
1995-06-01,12119587,3
1995-06-01,12121814,5
1995-06-01,12148468,10
1995-06-01,12155979,5
1995-06-01,12165928,2
1995-06-01,12172169,2
1995-06-01,12183686,5
1995-06-01,12194778,3
1995-06-01,12203807,5
1995-06-01,12210181,8
1995-06-01,12212953,10
1995-06-01,12216281,10
1995-06-01,12218228,5
1995-06-01,12225025,10
1995-06-01,12228005,2
1995-06-01,12237928,10
1995-06-01,12239140,5
1995-06-01,12240576,5
1995-06-01,12248045,3
1995-06-01,12263818,10
1995-06-01,12270360,5
1995-06-01,12274108,5
1995-06-01,12276427,5
1995-06-01,12304386,15
1995-06-01,12305311,10
1995-06-01,12311085,5
1995-06-01,12343290,20
1995-06-01,12355960,5
1995-06-01,12383164,5
1995-06-01,12386584,5
1995-06-01,12393255,10
1995-06-01,12398565,10
1995-06-01,12460566,10
1995-06-01,12481210,10
1995-06-01,12491075,10
1995-06-01,12511633,25
1995-06-01,12516072,5
1995-06-01,12520799,8
1995-06-01,12522429,3
1995-06-01,12540682,32
1995-06-01,12546567,2
1995-06-01,12549105,10
1995-06-01,12550945,5
1995-06-01,12551329,12
1995-06-01,12553590,5
1995-06-01,12585751,10
1995-06-01,12588544,5
1995-06-01,12591710,8
1995-06-01,12611266,8
1995-06-01,12621925,6
1995-06-01,12623644,10
1995-06-01,12630116,14
1995-06-01,12631995,5
1995-06-01,12645657,5
1995-06-01,12647088,5
1995-06-01,12649119,4
1995-06-01,12670121,7
1995-06-01,12708405,10
1995-06-01,12717409,10
1995-06-01,12718450,5
1995-06-01,12753826,10
1995-06-01,12764891,5
1995-06-01,12772092,10
1995-06-01,12777901,5
1995-06-01,12794886,8
1995-06-01,12810083,2
1995-06-01,12818423,10
1995-06-01,12821602,5
1995-06-01,12848960,10
1995-06-01,12859392,10
1995-06-01,12860093,8
1995-06-01,12862344,20
1995-06-01,12879294,3
1995-06-01,12883383,4
1995-06-01,12894100,20
1995-06-01,12895100,10
1995-06-01,12902334,10
1995-06-01,12904107,3
1995-06-01,12922147,5
1995-06-01,12926695,5
1995-06-01,12952229,5
1995-06-01,12955974,10
1995-06-01,12956642,3
1995-06-01,12966547,20
1995-06-01,12984875,15
1995-06-01,12989208,5
1995-06-01,13006885,5
1995-06-01,13010534,20
1995-06-01,13013400,20
1995-06-01,13014879,5
1995-06-01,13016713,5
1995-06-01,13023498,10
1995-06-01,13035722,5
1995-06-01,13046726,15
1995-06-01,13056292,10
1995-06-01,13074355,5
1995-06-01,13108675,5
1995-06-01,13110564,20
1995-06-01,13118448,5
1995-06-01,13119845,5
1995-06-01,13122281,5
1995-06-01,13134592,15
1995-06-01,13137711,11
1995-06-01,13145648,10
1995-06-01,13149500,10
1995-06-01,13168735,2
1995-06-01,13207254,5
1995-06-01,13207735,20
1995-06-01,13228813,15
1995-06-01,13231569,5
1995-06-01,13258066,3
1995-06-01,13267001,15
1995-06-01,13278607,50
1995-06-01,13288409,5
1995-06-01,13292385,10
1995-06-01,13296817,12
1995-06-01,13297655,25
1995-06-01,13298383,10
1995-06-01,13301576,5
1995-06-01,13338130,5
1995-06-01,13350385,10
1995-06-01,13353749,10
1995-06-01,13370427,5
1995-06-01,13373712,50
1995-06-01,13384614,10
1995-06-01,13431557,5
1995-06-01,13433466,5
1995-06-01,13434794,5
1995-06-01,13446140,5
1995-06-01,13446592,8
1995-06-01,13446888,5
1995-06-01,13456482,3
1995-06-01,13460973,5
1995-06-01,13468759,3
1995-06-01,13470395,10
1995-06-01,13500837,5
1995-06-01,13501180,10
1995-06-01,13506427,5
1995-06-01,13513943,3
1995-06-01,13527384,8
1995-06-01,13534304,5
1995-06-01,13550597,5
1995-06-01,13562315,10
1995-06-01,13565745,10
1995-06-01,13569208,3
1995-06-01,13579551,15
1995-06-01,13589966,10
1995-06-01,13597902,5
1995-06-01,13609377,18
1995-06-01,13610397,2
1995-06-01,13611983,5
1995-06-01,13630497,20
1995-06-01,13636443,5
1995-06-01,13636856,10
1995-06-01,13655086,20
1995-06-01,13671130,27
1995-06-01,13674719,5
1995-06-01,13677738,5
1995-06-01,13678816,10
1995-06-01,13694259,25
1995-06-01,13706639,30
1995-06-01,13710946,5
1995-06-01,13714408,5
1995-06-01,13720987,36
1995-06-01,13727366,8
1995-06-01,13759864,5
1995-06-01,13766006,10
1995-06-01,13775501,5
1995-06-01,13776481,10
1995-06-01,13785209,4
1995-06-01,13793426,5
1995-06-01,13802564,15
1995-06-01,13804773,10
1995-06-01,13810703,5
1995-06-01,13815633,10
1995-06-01,13818586,5
1995-06-01,13819334,25
1995-06-01,13827700,10
1995-06-01,13830503,3
1995-06-01,13841589,5
1995-06-01,13843753,5
1995-06-01,13844117,7
1995-06-01,13860057,5
1995-06-01,13867028,5
1995-06-01,13876647,5
1995-06-01,13878271,10
1995-06-01,13879006,10
1995-06-01,13883732,20
1995-06-01,13886531,5
1995-06-01,13886939,5
1995-06-01,13888459,20
1995-06-01,13902804,20
1995-06-01,13903482,3
1995-06-01,13903810,10
1995-06-01,13921528,5
1995-06-01,13933140,10
1995-06-01,13934839,10
1995-06-01,13935518,4
1995-06-01,13956967,7
1995-06-01,13957302,10
1995-06-01,13958595,10
1995-06-01,13967654,5
1995-06-01,13969484,25
1995-06-01,13972775,5
1995-06-01,13981610,2
1995-06-01,13983576,12
1995-06-01,13986572,25
1995-06-01,13987697,5
1995-06-01,13988513,3
1995-06-01,13993249,3
1995-06-01,13997273,3
1995-06-01,14000668,5
1995-06-01,14004995,20
1995-06-01,14006842,5
1995-06-01,14031941,5
1995-06-01,14035176,5
1995-06-01,14051145,10
1995-06-01,14053270,5
1995-06-01,14063231,10
1995-06-01,14077602,3
1995-06-01,14089547,10
1995-06-01,14096628,10
1995-06-01,14104613,8
1995-06-01,14111146,5
1995-06-01,14111776,5
1995-06-01,14146746,2
1995-06-01,14167413,2
1995-06-01,14170848,5
1995-06-01,14176549,5
1995-06-01,14185918,5
1995-06-01,14187390,5
1995-06-01,14207979,5
1995-06-01,14227786,5
1995-06-01,14239890,10
1995-06-01,14245843,50
1995-06-01,14252719,20
1995-06-01,14261023,10
1995-06-01,14264523,10
1995-06-01,14273473,12
1995-06-01,14276588,20
1995-06-01,14281787,2
1995-06-01,14301444,5
1995-06-01,14303888,3
1995-06-01,14324596,5
1995-06-01,14332091,25
1995-06-01,14333310,10
1995-06-01,14334880,3
1995-06-01,14338695,5
1995-06-01,14340032,10
1995-06-01,14345416,5
1995-06-01,14348756,10
1995-06-01,14361725,25
1995-06-01,14363668,5
1995-06-01,14366732,12
1995-06-01,14368710,10
1995-06-01,14375102,5
1995-06-01,14390509,10
1995-06-01,14412449,5
1995-06-01,14435434,5
1995-06-01,14436344,15
1995-06-01,14460654,5
1995-06-01,14473006,5
1995-06-01,14476869,5
1995-06-01,14489679,2
1995-06-01,14498817,12
1995-06-01,14507254,2
1995-06-01,14508046,3
1995-06-01,14510261,5
1995-06-01,14511003,5
1995-06-01,14513859,27
1995-06-01,14534818,2
1995-06-01,14547496,2
1995-06-01,14575858,3
1995-06-01,14576507,25
1995-06-01,14580101,5
1995-06-01,14580458,10
1995-06-01,14581477,5
1995-06-01,14585120,5
1995-06-01,14586582,20
1995-06-01,14593838,10
1995-06-01,14597582,25
1995-06-01,14602478,5
1995-06-01,14605167,3
1995-06-01,14611099,5
1995-06-01,14623188,5
1995-06-01,14633722,5
1995-06-01,14649081,2
1995-06-01,14667937,5
1995-06-01,14676064,5
1995-06-01,14676834,3
1995-06-01,14698728,10
1995-06-01,14700151,10
1995-06-01,14722394,10
1995-06-01,14726502,3
1995-06-01,14730104,10
1995-06-01,14749406,10
1995-06-01,14770111,5
1995-06-01,14775796,10
1995-06-01,14780060,5
1995-06-01,14794873,10
1995-06-01,14806920,15
1995-06-01,14807874,36
1995-06-01,14816226,10
1995-06-01,14817758,10
1995-06-01,14820148,5
1995-06-01,14824587,3
1995-06-01,14829479,10
1995-06-01,14833287,5
1995-06-01,14834115,2
1995-06-01,14846639,3
1995-06-01,14846925,10
1995-06-01,14853853,5
1995-06-01,14876982,5
1995-06-01,14884922,5
1995-06-01,14887289,20
1995-06-01,14889922,25
1995-06-01,14892096,10
1995-06-01,14892584,2
1995-06-01,14894484,5
1995-06-01,14897564,3
1995-06-01,14900604,5
1995-06-01,14911795,7
1995-06-01,14915953,3
1995-06-01,14948054,25
1995-06-01,14950974,20
1995-06-01,14972723,2
1995-06-01,14974476,5
1995-06-01,14976249,10
1995-06-01,14977232,15
1995-06-01,14995941,5
1995-06-01,14999031,7
1995-06-01,15001942,10
1995-06-01,15030525,5
1995-06-01,15038458,25
1995-06-01,15049630,3
1995-06-01,15055363,3
1995-06-01,15057306,10
1995-06-01,15062545,10
1995-06-01,15070638,10
1995-06-01,15072279,5
1995-06-01,15100867,10
1995-06-01,15103373,5
1995-06-01,15111652,5
1995-06-01,15122766,20
1995-06-01,15126003,5
1995-06-01,15133624,15
1995-06-01,15143642,10
1995-06-01,15145433,5
1995-06-01,15158831,10
1995-06-01,15174821,5
1995-06-01,15207835,3
1995-06-01,15213845,5
1995-06-01,15214945,10
1995-06-01,15223643,10
1995-06-01,15235671,5
1995-06-01,15252726,5
1995-06-01,15254063,5
1995-06-01,15257125,2
1995-06-01,15265490,6
1995-06-01,15273602,5
1995-06-01,15282036,5
1995-06-01,15284085,5
1995-06-01,15285638,5
1995-06-01,15287013,5
1995-06-01,15292917,5
1995-06-01,15300410,3
1995-06-01,15345070,5
1995-06-01,15352453,5
1995-06-01,15371647,3
1995-06-01,15382983,5
1995-06-01,15385999,5
1995-06-01,15393077,5
1995-06-01,15395380,10
1995-06-01,15411428,8
1995-06-01,15412124,5
1995-06-01,15419779,15
1995-06-01,15423254,8
1995-06-01,15436046,5
1995-06-01,15445414,10
1995-06-01,15449770,10
1995-06-01,15452464,5
1995-06-01,15455896,10
1995-06-01,15463034,5
1995-06-01,15467758,5
1995-06-01,15468088,5
1995-06-01,15468769,5
1995-06-01,15471358,10
1995-06-01,15473478,5
1995-06-01,15476685,10
1995-06-01,15486841,10
1995-06-01,15487536,3
1995-06-01,15488909,7
1995-06-01,15499818,5
1995-06-01,15503292,5
1995-06-01,15512646,5
1995-06-01,15525981,5
1995-06-01,15529525,5
1995-06-01,15537662,5
1995-06-01,15538999,10
1995-06-01,15539308,5
1995-06-01,15540888,3
1995-06-01,15547662,5
1995-06-01,15549235,20
1995-06-01,15556377,10
1995-06-01,15559142,8
1995-06-01,15568769,5
1995-06-01,15573973,10
1995-06-01,15577927,8
1995-06-01,15628572,5
1995-06-01,15632435,2
1995-06-01,15652593,4
1995-06-01,15665369,10
1995-06-01,15669773,5
1995-06-01,15674070,10
1995-06-01,15677208,5
1995-06-01,15681408,5
1995-06-01,15686336,30
1995-06-01,15689152,10
1995-06-01,15692701,10
1995-06-01,15701480,5
1995-06-01,15713400,2
1995-06-01,15714027,5
1995-06-01,15723257,5
1995-06-01,15737166,2
1995-06-01,15753140,8
1995-06-01,15755742,10
1995-06-01,15758157,12
1995-06-01,15759075,8
1995-06-01,15770788,10
1995-06-01,15773754,10
1995-06-01,15775261,5
1995-06-01,15778794,10
1995-06-01,15782805,5
1995-06-01,15794717,15
1995-06-01,15799944,5
1995-06-01,15808032,5
1995-06-01,15820411,3
1995-06-01,15822172,3
1995-06-01,15823083,5
1995-06-01,15829401,10
1995-06-01,15835090,5
1995-06-01,15839544,6
1995-06-01,15843127,10
1995-06-01,15846661,5
1995-06-01,15851274,5
1995-06-01,15854933,5
1995-06-01,15866255,10
1995-06-01,15870667,5
1995-06-01,15876772,5
1995-06-01,15878896,10
1995-06-01,15881288,10
1995-06-01,15885455,10
1995-06-01,15885760,8
1995-06-01,15892318,10
1995-06-01,15893806,8
1995-06-01,15894078,14
1995-06-01,15904432,10
1995-06-01,15914857,5
1995-06-01,15916242,6
1995-06-01,15922991,10
1995-06-01,15923972,10
1995-06-01,15924661,2
1995-06-01,15936179,5
1995-06-01,15937332,5
1995-06-01,15938515,5
1995-06-01,15939127,10
1995-06-01,15949626,3
1995-06-01,15954224,3
1995-06-01,15958398,5
1995-06-01,15959759,5
1995-06-01,15960015,5
1995-06-01,15964226,5
1995-06-01,15972403,5
1995-06-01,15977784,5
1995-06-01,15986028,5
1995-06-01,15986606,5
1995-06-01,15995073,5
1995-06-01,16003558,10
1995-06-01,16006301,15
1995-06-01,16022244,5
1995-06-01,16029373,3
1995-06-01,16032518,12
1995-06-01,16039863,15
1995-06-01,16055429,10
1995-06-01,16061857,5
1995-06-01,16071395,10
1995-06-01,16072193,12
1995-06-01,16082080,2
1995-06-01,16096481,15
1995-06-01,16097049,2
1995-06-01,16097368,5
1995-06-01,16102172,20
1995-06-01,16124003,5
1995-06-01,16127764,2
1995-06-01,16134033,10
1995-06-01,16134621,5
1995-06-01,16135104,5
1995-06-01,16146072,5
1995-06-01,16160104,2
1995-06-01,16168150,8
1995-06-01,16179940,10
1995-06-01,16186364,10
1995-06-01,16188124,25
1995-06-01,16190093,10
1995-06-01,16203703,10
1995-06-01,16204922,7
1995-06-01,16206216,3
1995-06-01,16211238,3
1995-06-01,16221106,5
1995-06-01,16233955,10
1995-06-01,16248933,2
1995-06-01,16250019,7
1995-06-01,16250738,5
1995-06-01,16254596,3
1995-06-01,16261428,5
1995-06-01,16265507,2
1995-06-01,16272290,3
1995-06-01,16272530,2
1995-06-01,16278686,5
1995-06-01,16278960,10
1995-06-01,16282893,20
1995-06-01,16284576,5
1995-06-01,16289178,5
1995-06-01,16290639,5
1995-06-01,16291450,5
1995-06-01,16298656,5
1995-06-01,16304841,5
1995-06-01,16306393,10
1995-06-01,16308855,25
1995-06-01,16311801,3
1995-06-01,16319467,3
1995-06-01,16326407,5
1995-06-01,16332167,5
1995-06-01,16333625,5
1995-06-01,16345937,5
1995-06-01,16349555,3
1995-06-01,16351911,3
1995-06-01,16358857,10
1995-06-01,16362378,3
1995-06-01,16365089,5
1995-06-01,16365862,5
1995-06-01,16370186,5
1995-06-01,16373701,4
1995-06-01,16376147,50
1995-06-01,16384217,8
1995-06-01,16384485,7
1995-06-01,16390782,20
1995-06-01,16393663,20
1995-06-01,16394175,10
1995-06-01,16396864,20
1995-06-01,16403835,10
1995-06-01,16405400,10
1995-06-01,16410644,5
1995-06-01,16412918,5
1995-06-01,16420371,5
1995-06-01,16425553,5
1995-06-01,16431222,2
1995-06-01,16437528,5
1995-06-01,16457401,10
1995-06-01,16463212,5
1995-06-01,16474994,25
1995-06-01,16478133,5
1995-06-01,16486517,5
1995-06-01,16487593,10
1995-06-01,16496610,5
1995-06-01,16498523,5
1995-06-01,16510457,5
1995-06-01,16510909,5
1995-06-01,16518786,10
1995-06-01,16521357,5
1995-06-01,16532814,15
1995-06-01,16541129,5
1995-06-01,16543208,12
1995-06-01,16554132,5
1995-06-01,16554615,5
1995-06-01,16559325,5
1995-06-01,16564370,5
1995-06-01,16566739,5
1995-06-01,16581846,8
1995-06-01,16582747,12
1995-06-01,16585287,5
1995-06-01,16585588,10
1995-06-01,16586469,10
1995-06-01,16590034,5
1995-06-01,16596366,3
1995-06-01,16598470,18
1995-06-01,16598771,5
1995-06-01,16602410,5
1995-06-01,16609362,8
1995-06-01,16614362,5
1995-06-01,16619287,5
1995-06-01,16622144,5
1995-06-01,16623441,2
1995-06-01,16624650,5
1995-06-01,16628216,20
1995-06-01,16631624,10
1995-06-01,16633736,5
1995-06-01,16635420,5
1995-06-01,16636644,20
1995-06-01,16637189,8
1995-06-01,16644592,20
1995-06-01,16646702,5
1995-06-01,16648092,5
1995-06-01,16649710,2
1995-06-01,16651676,32
1995-06-01,16658538,5
1995-06-01,16677759,3
1995-06-01,16696109,5
1995-06-01,16697619,10
1995-06-01,16700172,10
1995-06-01,16711231,5
1995-06-01,16713929,5
1995-06-01,16716354,50
1995-06-01,16717053,10
1995-06-01,16717494,5
1995-06-01,16726708,10
1995-06-01,16731511,2
1995-06-01,16736405,5
1995-06-01,16738183,100
1995-06-01,16748935,25
1995-06-01,16749473,5
1995-06-01,16752578,5
1995-06-01,16758854,5
1995-06-01,16786064,10
1995-06-01,16792481,20
1995-06-01,16801461,5
1995-06-01,16802029,5
1995-06-01,16802846,8
1995-06-01,16807375,10
1995-06-01,16808497,5
1995-06-01,16810547,3
1995-06-01,16814512,5
1995-06-01,16821361,10
1995-06-01,16829195,5
1995-06-01,16829454,12
1995-06-01,16834780,30
1995-06-01,16835605,3
1995-06-01,16841429,5
1995-06-01,16848889,20
1995-06-01,16865307,5
1995-06-01,16890132,5
1995-06-01,16892918,2
1995-06-01,16895739,5
1995-06-01,16899642,10
1995-06-01,16899901,12
1995-06-01,16902564,10
1995-06-01,16902773,10
1995-06-01,16905071,10
1995-06-01,16911201,5
1995-06-01,16911490,5
1995-06-01,16914623,5
1995-06-01,16927321,10
1995-06-01,16953402,5
1995-06-01,16955392,5
1995-06-01,16956066,2
1995-06-01,16965903,2
1995-06-01,16970522,5
1995-06-01,16983364,5
1995-06-01,16984201,5
1995-06-01,16985032,5
1995-06-01,16991361,10
1995-06-01,17003343,20
1995-06-01,17019890,5
1995-06-01,17020181,5
1995-06-01,17021097,10
1995-06-01,17025124,10
1995-06-01,17026824,12
1995-06-01,17032234,25
1995-06-01,17040195,8
1995-06-01,17042520,5
1995-06-01,17042745,5
1995-06-01,17051205,2
1995-06-01,17061230,5
1995-06-01,17065173,2
1995-06-01,17069492,5
1995-06-01,17074568,5
1995-06-01,17083288,15
1995-06-01,17085987,10
1995-06-01,17095919,5
1995-06-01,17099675,5
1995-06-01,17101290,5
1995-06-01,17106834,10
1995-06-01,17109222,5
1995-06-01,17109504,5
1995-06-01,17112207,2
1995-06-01,17114395,2
1995-06-01,17116305,10
1995-06-01,17121537,5
1995-06-01,17127287,2
1995-06-01,17133036,10
1995-06-01,17134459,5
1995-06-01,17135644,10
1995-06-01,17137384,5
1995-06-01,17140468,5
1995-06-01,17141549,10
1995-06-01,17154023,5
1995-06-01,17157837,10
1995-06-01,17158357,8
1995-06-01,17161076,5
1995-06-01,17161792,3
1995-06-01,17162081,5
1995-06-01,17171513,5
1995-06-01,17172279,5
1995-06-01,17173292,5
1995-06-01,17177064,5
1995-06-01,17178529,10
1995-06-01,17179853,5
1995-06-01,17183248,20
1995-06-01,17184001,5
1995-06-01,17188853,5
1995-06-01,17191400,2
1995-06-01,17193140,10
1995-06-01,17196629,5
1995-06-01,17197692,5
1995-06-01,17201263,10
1995-06-01,17204898,12
1995-06-01,17214180,3
1995-06-01,17217169,5
1995-06-01,17225320,50
1995-06-01,17228743,24
1995-06-01,17229473,10
1995-06-01,17229970,5
1995-06-01,17236264,15
1995-06-01,17237128,12
1995-06-01,17240331,10
1995-06-01,17242095,5
1995-06-01,17245887,10
1995-06-01,17252885,5
1995-06-01,17260329,5
1995-06-01,17265005,5
1995-06-01,17268031,2
1995-06-01,17268555,5
1995-06-01,17275990,2
1995-06-01,17277763,3
1995-06-01,17283007,15
1995-06-01,17291107,5
1995-06-01,17293160,5
1995-06-01,17296594,5
1995-06-01,17302886,2
1995-06-01,17313066,2
1995-06-01,17319088,5
1995-06-01,17322653,5
1995-06-01,17327628,3
1995-06-01,17328584,50
1995-06-01,17332038,2
1995-06-01,17335963,5
1995-06-01,17338458,10
1995-06-01,17338680,3
1995-06-01,17342348,5
1995-06-01,17343986,5
1995-06-01,17348471,5
1995-06-01,17363226,8
1995-06-01,17365948,10
1995-06-01,17369354,5
1995-06-01,17374061,2
1995-06-01,17376751,3
1995-06-01,17377535,5
1995-06-01,17381499,5
1995-06-01,17387058,4
1995-06-01,17387549,5
1995-06-01,17389492,5
1995-06-01,17395221,3
1995-06-01,17397744,5
1995-06-01,17400775,3
1995-06-01,17409834,10
1995-06-01,17411577,2
1995-06-01,17414743,2
1995-06-01,17420067,5
1995-06-01,17420519,8
1995-06-01,17421208,2
1995-06-01,17429238,5
1995-06-01,17432908,5
1995-06-01,17449723,10
1995-06-01,17455762,10
1995-06-01,17457907,5
1995-06-01,17460778,3
1995-06-01,17472933,5
1995-06-01,17473179,12
